source,campaign,total_users,new_users,sessions,avg_session_duration,engagement_rate,purchases,revenue
google_ads,CAMPAIGN_1,419,382,581,698.994395,0.4579761409,10,2597.73
google_ads,CAMPAIGN_2,16435,11594,19800,1613.472231,0.7369000877,21,5348.83
google_ads,CAMPAIGN_3,88970,62368,106842,1828.924085,0.7731530824,6,1597.33
google_ads,CAMPAIGN_4,4742,3408,5768,1337.709554,0.6375015725,31,7849.83
google_ads,CAMPAIGN_5,50503,35441,60682,706.3168486,0.5042803265,8,2097.53
google_ads,CAMPAIGN_6,89785,62939,107820,1342.755231,0.6521589185,21,5348.83
google_ads,CAMPAIGN_7,116465,81615,139836,3561.578082,0.7391057219,17,4348.43
google_ads,CAMPAIGN_8,131807,92354,158246,1791.711935,0.7101809871,26,6599.33
google_ads,CAMPAIGN_9,88265,61875,105996,3117.851112,0.6964758951,28,7099.53
google_ads,CAMPAIGN_10,76093,53354,91390,1927.628161,0.7755901205,21,5348.83
google_ads,CAMPAIGN_11,100759,70620,120989,3730.712862,0.768218331,21,5348.83
google_ads,CAMPAIGN_12,117856,82588,141505,564.5614932,0.5605650514,11,2847.83
google_ads,CAMPAIGN_13,72624,50926,87227,1752.677713,0.7376051548,28,7099.53
google_ads,CAMPAIGN_14,103649,72643,124457,2343.992706,0.7679488213,19,4848.63
google_ads,CAMPAIGN_15,52082,36546,62576,2002.068733,0.719345272,32,8099.93
google_ads,CAMPAIGN_16,51351,36035,61699,495.7047415,0.5526617058,31,7849.83
google_ads,CAMPAIGN_17,117795,82546,141432,1860.587252,0.7233066278,29,7349.63
google_ads,CAMPAIGN_18,122600,85909,147198,1882.655366,0.6199085705,23,5849.03
google_ads,CAMPAIGN_19,116299,81498,139637,1498.963177,0.7259385666,11,2847.83
google_ads,CAMPAIGN_20,899,718,1157,1008.244609,0.7594420426,28,7099.53
google_ads,CAMPAIGN_21,6129,4379,7433,1238.627212,0.75252443,13,3348.03
google_ads,CAMPAIGN_22,119136,83484,143041,1354.741984,0.7728037159,32,8099.93
google_ads,CAMPAIGN_23,64963,45563,78034,1208.192167,0.6216830933,26,6599.33
google_ads,CAMPAIGN_24,127844,89580,153491,1419.613792,0.7612398095,5,1347.23
google_ads,CAMPAIGN_25,58340,40927,70086,1742.957666,0.712535274,7,1847.43
google_ads,CAMPAIGN_26,7849,5583,9497,1581.172889,0.7526015441,7,1847.43
